Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40
Aaliyah Nye,LVA,G-F,44,671,5.7,.473,.453,.690,.099,2.6,5.7,5.5,1.0,1.2,13.1,14.0,91,109,-0.4,0.4,0.0,.002
Arike Ogunbowale,DAL,G,29,966,13.3,.494,.423,.391,.287,1.1,4.3,20.7,2.0,0.7,11.6,23.2,102,114,0.8,0.0,0.8,.032
Nneka Ogwumike,SEA,F,44,1359,21.8,.600,.572,.292,.191,5.1,13.7,13.5,1.9,1.2,11.3,25.4,110,102,3.3,2.4,5.7,.168
Amy Okonkwo,DAL,F,8,157,21.9,.630,.574,.492,.328,4.9,9.1,6.8,3.6,0.6,9.1,21.3,121,109,0.5,0.1,0.7,.167
Lucy Olsen,WAS,G,41,508,10.4,.496,.475,.440,.107,2.7,5.8,17.0,1.5,0.9,11.2,17.0,100,108,0.2,0.4,0.6,.046
Michaela Onyenwere,CHI,F,42,711,7.8,.525,.479,.322,.242,2.8,5.7,11.7,1.2,0.5,19.3,18.3,94,116,-0.3,-0.2,-0.5,-0.026
Te-Hina PaoPao,ATL,G,43,720,13.1,.559,.557,.606,.060,1.7,5.7,23.7,1.5,1.1,16.4,17.1,108,104,1.0,1.1,2.1,.115
Cheyenne Parker-Tyus,LVA,F,2,14,37.3,.752,.688,.250,.750,0.0,8.3,0.0,0.0,0.0,8.6,37.9,133,110,0.1,0.0,0.1,.364
Robyn Parks,CON,F,6,63,1.1,.200,.200,.800,.000,1.8,8.5,4.7,1.7,0.0,16.7,4.3,59,113,-0.1,0.0,-0.1,-0.046
Haley Peters,CON,F-G,33,380,5.0,.388,.354,.476,.159,7.5,11.6,10.6,1.5,0.8,20.1,13.1,83,113,-0.6,0.1,-0.5,-0.054
Ajae Petty,DAL,F,2,6,-0.9,,,,,0.0,9.6,0.0,0.0,0.0,,0.0,116,0.0,0.0,0.0,-0.010
Kelsey Plum,LAS,G,43,1508,18.1,.578,.502,.451,.395,0.8,5.2,27.9,1.8,0.2,15.3,25.4,111,114,4.1,0.0,4.2,.110
Alexis Prince,PHO,F,1,22,-1.6,.333,.333,.333,.000,0.0,20.8,6.5,0.0,0.0,50.0,12.3,40,100,-0.1,0.0,-0.1,-0.139
JJ Quinerly,DAL,G,34,539,13.2,.529,.481,.287,.239,3.7,6.7,24.0,2.7,1.2,20.0,20.9,99,111,0.2,0.2,0.4,.027
Angel Reese,CHI,F,30,947,19.9,.537,.464,.066,.515,15.4,23.4,21.5,2.4,2.0,22.4,25.0,101,105,0.7,1.2,1.9,.079
Saniya Rivers,CON,G,42,1097,13.6,.495,.468,.361,.169,3.0,6.4,18.4,2.9,3.4,14.2,18.1,98,110,0.1,0.6,0.7,.026
Iliana Rupert,GSV,C,21,486,15.9,.609,.588,.680,.105,5.2,9.7,13.0,1.4,2.6,11.1,17.3,117,103,1.2,0.8,1.9,.159
