site,seed,policy,seasons,step,marker,year,phase,i_expansion,mu_size,compete_local,n_star_fa,bidding_intensity,travel_fatigue,leverage,cash_flow,cash_flow_cum,cash,franchise_value,debt,owner_share,terminal_value,win_pct,elo,syn,a_roster,a_salary,a_ticket,a_marketing,a_debt,a_equity
Denver,0,aggressive,1,5,offseason_decision,2026,offseason,1,0.6272457972183026,0,0,6.591126133316471,0.4607,0.4947061298977672,9.700198924469618,55.63428455065066,173.2214525675677,363.01787498373903,179.58716801691702,1.0,183.43070696682202,0.24406094708090872,1464.326477057427,-3.210853870699367,6,5,6,3,2,0
Denver,0,aggressive,2,8,season_end,2027,offseason,0,0.6272457972183026,0,0,6.7295181690244945,0.4607,0.41408582115585457,6.345224208460216,62.36984532599197,179.95701334290902,433.6955260038319,179.58716801691702,1.0,254.10835798691488,0.11656290484875166,1438.1356812405854,-3.0676556298650546,6,5,6,3,2,0
Denver,0,aggressive,2,9,offseason_decision,2027,offseason,0,0.6272457972183026,0,0,6.7295181690244945,0.4607,0.41408582115585457,6.345224208460216,62.36984532599197,179.95701334290902,433.6955260038319,179.58716801691702,1.0,254.10835798691488,0.11656290484875166,1438.1356812405854,-3.0676556298650546,6,5,6,3,2,0
Denver,0,aggressive,3,12,season_end,2028,offseason,0,0.6272457972183026,0,1,7.559671991574587,0.4607,0.38725273349371864,-0.28212409353480083,74.27162779651064,191.8587958134277,463.74667622541125,179.58716801691702,1.0,284.15950820849423,0.08777311645188565,1415.0197245171287,-3.164847287762709,6,5,6,3,2,0
Denver,0,defensive,0,1,offseason_decision,2025,offseason,0,0.6148457972183027,0,3,5.0,0.0,0.2,0.0,0.0,5.0,335.0,67.0,1.0,268.0,0.545,1488.4828510831296,-4.241364390609727,3,1,2,3,1,0
Denver,0,defensive,1,4,season_end,2026,offseason,1,0.6272457972183026,0,0,6.591126133316471,0.4607,0.02854791725590681,19.025952522345396,75.40860277016989,23.93207516324416,368.62487370762096,10.523472393074261,1.0,358.1014013145467,0.2926414696040174,1468.6104561231,-2.159274173842885,3,1,2,3,1,0
Denver,0,defensive,1,5,offseason_decision,2026,offseason,1,0.6272457972183026,0,0,6.591126133316471,0.4607,0.02854791725590681,19.025952522345396,75.40860277016989,23.93207516324416,368.62487370762096,10.523472393074261,1.0,358.1014013145467,0.2926414696040174,1468.6104561231,-2.159274173842885,3,1,2,3,1,0
Denver,0,defensive,2,8,season_end,2027,offseason,0,0.6272457972183026,0,0,6.7295181690244945,0.4607,0.0,19.220895520997296,144.4789343458005,82.4789343458005,454.9669111765232,0.0,1.0,454.9669111765232,0.17039427772096333,1446.0245711297866,-2.0160759330085734,3,1,2,3,1,0
Denver,0,defensive,2,9,offseason_decision,2027,offseason,0,0.6272457972183026,0,0,6.7295181690244945,0.4607,0.0,19.220895520997296,144.4789343458005,82.4789343458005,454.9669111765232,0.0,1.0,454.9669111765232,0.17039427772096333,1446.0245711297866,-2.0160759330085734,3,1,2,3,1,0
Denver,0,defensive,3,12,season_end,2028,offseason,0,0.6272457972183026,0,1,7.559671991574587,0.4607,0.0,16.63586805400177,215.9038416176902,153.9038416176902,505.3110552252183,0.0,1.0,505.3110552252183,0.16644415583903266,1427.8423447397504,-2.1132675909062275,3,1,2,3,1,0
Denver,0,ppo,0,1,offseason_decision,2025,offseason,0,0.6148457972183027,0,3,5.0,0.0,0.2,0.0,0.0,5.0,335.0,67.0,1.0,268.0,0.545,1488.4828510831296,-4.241364390609727,2,5,2,3,4,0
Denver,0,ppo,1,4,season_end,2026,offseason,1,0.6272457972183026,0,0,6.591126133316471,0.4607,0.4976339384137455,10.797284561215513,59.27298717024075,176.51647145807368,360.1914388298922,179.24348428783296,1.0,180.94795454205925,0.2666090291037456,1466.2961620522517,-2.6271654087747347,2,5,2,2,4,0
Denver,0,ppo,1,5,offseason_decision,2026,offseason,1,0.6272457972183026,0,0,6.591126133316471,0.4607,0.4976339384137455,10.797284561215513,59.27298717024075,176.51647145807368,360.1914388298922,179.24348428783296,1.0,180.94795454205925,0.2666090291037456,1466.2961620522517,-2.6271654087747347,2,5,0,2,1,0
Denver,0,ppo,2,8,season_end,2027,offseason,0,0.6272457972183026,0,0,6.7295181690244945,0.4607,0.27177284968281706,11.00977167277741,77.21168578856104,131.1817635227035,426.7169361085548,115.97007773414252,1.0,310.7468583744123,0.1329599838680231,1441.0884816240748,-2.7681208626674243,5,5,0,0,1,0
Denver,0,ppo,2,9,offseason_decision,2027,offseason,0,0.6272457972183026,0,0,6.7295181690244945,0.4607,0.27177284968281706,11.00977167277741,77.21168578856104,131.1817635227035,426.7169361085548,115.97007773414252,1.0,310.7468583744123,0.1329599838680231,1441.0884816240748,-2.7681208626674243,5,2,6,3,4,0
Denver,0,ppo,3,12,season_end,2028,offseason,0,0.6272457972183026,0,1,7.559671991574587,0.4607,0.5460149691143776,-2.518984283019705,96.91147903707115,283.2472739434197,454.8149940085762,248.3357949063486,1.0,206.4791991022276,0.10556913803683671,1418.9621946827517,-2.9023211575251215,2,5,6,1,4,0
Denver,1,baseline,0,1,offseason_decision,2025,offseason,0,0.6148457972183027,0,3,5.0,0.0,0.2,0.0,0.0,5.0,335.0,67.0,1.0,268.0,0.545,1488.4828510831296,-4.241364390609727,3,2,2,1,2,0
Denver,1,baseline,1,4,season_end,2026,offseason,1,0.6272457972183026,0,0,8.258739799935874,0.4607,0.183787985930161,18.04449649608705,76.08385231356586,81.08385231356586,364.5504882210301,67.0,1.0,297.5504882210301,0.3356710778288208,1471.813290975986,-2.0257300870442636,3,2,2,1,2,0
Denver,1,baseline,1,5,offseason_decision,2026,offseason,1,0.6272457972183026,0,0,8.258739799935874,0.4607,0.183787985930161,18.04449649608705,76.08385231356586,81.08385231356586,364.5504882210301,67.0,1.0,297.5504882210301,0.3356710778288208,1471.813290975986,-2.0257300870442636,3,2,2,1,2,0
Denver,1,baseline,2,8,season_end,2027,offseason,0,0.6272457972183026,0,0,7.076739157519347,0.4607,0.1400099606252719,12.081807342264977,148.24250005493437,153.24250005493437,478.53738191757225,67.0,1.0,411.53738191757225,0.21640154614277152,1451.832619196572,-2.029977051063036,3,2,2,1,2,0
