Season,Date,home_abbr,away_abbr,home_pts,away_pts,home_win,opponent_abbr,ELO_t,opp_pre_elo_t,O_mean,O_var,O_p90,SOS_t,elo_avg_pre,O_t_list_json,O_len,O_mean_calc,O_var_calc,O_p90_calc
2020,2020-07-29,IND,PHO,106.0,100.0,1.0,PHO,1491.4292623481676,1488.5707376518324,1506.5269443950085,2328.0846816944904,1563.245749802105,1.004351296263339,1499.9999999999998,"[1499.92,1507.462,1502.249,1529.356,1494.063,1528.276,1447.413,1528.997,1481.753,1582.309,1543.551,1561.532,1458.824,1525.061,1419.895,1533.242,1490.736,1578.674,1388.924,1528.304]",20,1506.52705,2328.092261747499,1563.2462
2020,2020-07-31,DAL,IND,76.0,73.0,1.0,DAL,1499.919502226502,1499.919502226502,1506.8747045091402,2448.1967124756325,1564.9599949080036,1.0045831363394269,1500.0,"[1507.462,1502.249,1529.356,1494.063,1528.276,1447.413,1528.997,1481.753,1582.309,1543.551,1561.532,1458.824,1525.061,1419.895,1533.242,1490.736,1578.674,1388.924,1528.304]",19,1506.874789473684,2448.204978587257,1564.9604
2020,2020-08-02,IND,ATL,93.0,77.0,1.0,ATL,1491.3487645746698,1507.462063960312,1506.8420734285196,2584.187409985474,1566.6742400139028,1.0045613822856796,1500.0000000000002,"[1502.249,1529.356,1494.063,1528.276,1447.413,1528.997,1481.753,1582.309,1543.551,1561.532,1458.824,1525.061,1419.895,1533.242,1490.736,1578.674,1388.924,1528.304]",18,1506.8421666666666,2584.196145583332,1566.6746
2020,2020-08-05,LAS,IND,86.0,75.0,1.0,LAS,1500.376507947553,1502.249364269137,1507.112232790836,2734.884684643415,1568.388485119802,1.004741488527224,1500.0,"[1529.356,1494.063,1528.276,1447.413,1528.997,1481.753,1582.309,1543.551,1561.532,1458.824,1525.061,1419.895,1533.242,1490.736,1578.674,1388.924,1528.304]",17,1507.1123529411764,2734.8936723460197,1568.3888
2020,2020-08-07,MIN,IND,87.0,80.0,1.0,MIN,1491.8585331026406,1529.3557232617577,1505.7220146364034,2872.95896664609,1570.1027302257012,1.003814676424269,1500.0,"[1494.063,1528.276,1447.413,1528.997,1481.753,1582.309,1543.551,1561.532,1458.824,1525.061,1419.895,1533.242,1490.736,1578.674,1388.924,1528.304]",16,1505.722125,2872.968053484374,1570.103
2020,2020-08-09,IND,WAS,91.0,84.0,1.0,WAS,1484.3249814904884,1494.0625694278194,1506.4993109836428,3054.8225306396007,1571.8169753316,1.004332873989095,1500.0,"[1528.276,1447.413,1528.997,1481.753,1582.309,1543.551,1561.532,1458.824,1525.061,1419.895,1533.242,1490.736,1578.674,1388.924,1528.304]",15,1506.4994,3054.832754239999,1571.8172
2020,2020-08-11,IND,LVA,79.0,98.0,0.0,LVA,1493.171295868346,1528.2760724077166,1504.94382802478,3236.7312314413293,1573.531220437499,1.0032958853498533,1500.0,"[1447.413,1528.997,1481.753,1582.309,1543.551,1561.532,1458.824,1525.061,1419.895,1533.242,1490.736,1578.674,1388.924,1528.304]",14,1504.9439285714284,3236.7427233520393,1573.5314
2020,2020-08-13,NYL,IND,79.0,86.0,0.0,NYL,1482.7428393434666,1447.4134365410537,1509.3692427542976,3211.530419541601,1575.2454655433985,1.0062461618361984,1500.0,"[1528.997,1481.753,1582.309,1543.551,1561.532,1458.824,1525.061,1419.895,1533.242,1490.736,1578.674,1388.924,1528.304]",13,1509.3693846153847,3211.537676082839,1575.2456
2020,2020-08-15,IND,LAS,76.0,90.0,0.0,LAS,1493.1648422955232,1528.99669300314,1507.7336219002275,3444.3796319858993,1576.9597106492974,1.005155747933485,1500.0,"[1481.753,1582.309,1543.551,1561.532,1458.824,1525.061,1419.895,1533.242,1490.736,1578.674,1388.924,1528.304]",12,1507.73375,3444.386908020832,1576.9598
2020,2020-08-18,CON,IND,84.0,62.0,1.0,CON,1482.7572760734806,1481.752894173007,1510.0955062390651,3690.563081514936,1578.6739557551966,1.00673033749271,1500.0,"[1582.309,1543.551,1561.532,1458.824,1525.061,1419.895,1533.242,1490.736,1578.674,1388.924,1528.304]",11,1510.0956363636362,3690.5709042314033,1578.674
