off_action,reg_action,win_mean,cf_mean,debt_mean,base_win,base_cf,base_debt,improved_all,score,site
"(3, 2, 2, 1, 1, 1)","(3, 2, 4, 2, 1, 1)",0.31751915566641953,11.149059136953454,10.141734258757555,0.31751915566641953,9.962909002941036,41.95411804814745,0,4.367388512951408,StLouis
"(4, 3, 2, 1, 1, 1)","(3, 3, 2, 2, 1, 1)",0.29925804885446367,10.67085065541147,10.152560582347487,0.31751915566641953,9.962909002941036,41.95411804814745,0,2.061986717854845,StLouis
"(4, 1, 2, 1, 1, 0)","(3, 1, 3, 2, 1, 0)",0.30710725718568604,11.140629164132005,10.146543995935936,0.31751915566641953,9.962909002941036,41.95411804814745,0,3.317287718338772,StLouis
"(4, 1, 2, 1, 1, 1)","(3, 1, 4, 1, 1, 1)",0.30710725718568604,11.406185478699935,10.159730277099715,0.31751915566641953,9.962909002941036,41.95411804814745,0,3.581525404790325,StLouis
"(5, 2, 2, 1, 0, 0)","(3, 2, 3, 2, 0, 0)",0.31773397810340503,11.390039691349791,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,1,5.232821937402647,StLouis
"(4, 2, 2, 1, 0, 1)","(3, 2, 3, 2, 0, 1)",0.311405216760251,11.351161282006656,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,4.561067393744109,StLouis
"(3, 1, 2, 1, 0, 0)","(3, 1, 2, 1, 0, 0)",0.31353732478806573,11.885331056805907,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,5.308447971324831,StLouis
"(3, 1, 2, 1, 0, 1)","(3, 1, 3, 2, 0, 1)",0.31353732478806573,11.634217629986281,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,5.057334544505206,StLouis
"(5, 3, 2, 1, 0, 1)","(3, 3, 3, 1, 0, 1)",0.30915430614179507,11.365031571991533,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,4.349846621883391,StLouis
"(6, 2, 2, 1, 0, 1)","(3, 2, 2, 2, 0, 1)",0.31715203736856795,11.392750032409548,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,5.177338204978695,StLouis
"(5, 1, 2, 1, 1, 1)","(3, 1, 4, 2, 1, 1)",0.3014054461514109,11.108619398853646,10.153967184645001,0.31751915566641953,9.962909002941036,41.95411804814745,0,2.7143545307619936,StLouis
"(5, 2, 2, 1, 1, 1)","(3, 2, 4, 2, 1, 1)",0.31773397810340503,11.036852951072529,10.145753177791299,0.31751915566641953,9.962909002941036,41.95411804814745,1,4.276262678865659,StLouis
"(5, 2, 2, 1, 0, 0)","(3, 2, 4, 1, 0, 0)",0.31773397810340503,11.649142308879131,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,1,5.491924554931987,StLouis
"(4, 1, 2, 1, 1, 1)","(3, 1, 4, 2, 1, 1)",0.30710725718568604,11.148662592021616,10.146543995935936,0.31751915566641953,9.962909002941036,41.95411804814745,0,3.325321146228383,StLouis
"(4, 3, 2, 1, 1, 0)","(3, 3, 3, 1, 1, 0)",0.29925804885446367,10.918241556678346,10.165738625756903,0.31751915566641953,9.962909002941036,41.95411804814745,0,2.308059814780779,StLouis
"(4, 1, 2, 1, 0, 1)","(3, 1, 3, 1, 0, 1)",0.30710725718568604,11.769047615614276,4.112027995194051,0.31751915566641953,9.962909002941036,41.95411804814745,0,4.549157769895232,StLouis
"(4, 1, 2, 1, 1, 1)","(3, 1, 2, 2, 1, 1)",0.30710725718568604,11.148662592021616,10.146543995935936,0.31751915566641953,9.962909002941036,41.95411804814745,0,3.325321146228383,StLouis
"(5, 2, 2, 1, 1, 1)","(3, 2, 2, 1, 1, 1)",0.31773397810340503,11.29516432678643,10.158940541381934,0.31751915566641953,9.962909002941036,41.95411804814745,1,4.5332553182204975,StLouis
"(5, 3, 2, 1, 0, 0)","(3, 3, 2, 2, 0, 0)",0.3090108518463598,11.10435902155648,4.112027995194051,0.31737731886579684,9.970661681330515,41.95411804814745,0,4.081259643577599,Nashville
"(3, 3, 2, 1, 1, 1)","(3, 3, 4, 1, 1, 1)",0.3174728211253115,11.2078970110672,10.154874618687401,0.31737731886579684,9.970661681330515,41.95411804814745,1,4.426709898634155,Nashville
"(6, 2, 2, 1, 0, 1)","(3, 2, 4, 1, 0, 1)",0.3170125233102949,11.659509587879503,4.112027995194051,0.31737731886579684,9.970661681330515,41.95411804814745,0,5.436577356294133,Nashville
"(4, 3, 2, 1, 1, 1)","(3, 3, 3, 2, 1, 1)",0.2991465412317198,10.678334312464507,10.152560582347487,0.31737731886579684,9.970661681330515,41.95411804814745,0,2.064750614306284,Nashville
"(4, 2, 2, 1, 0, 1)","(3, 2, 2, 1, 0, 1)",0.31127232966068297,11.617484825465752,4.112027995194051,0.31737731886579684,9.970661681330515,41.95411804814745,0,4.820533228919189,Nashville
"(6, 3, 2, 1, 1, 1)","(3, 3, 2, 2, 1, 1)",0.27553569290776847,10.506023438911964,10.165957759251443,0.31737731886579684,9.970661681330515,41.95411804814745,0,-0.46998480933178755,Nashville
"(3, 3, 2, 1, 0, 0)","(3, 3, 3, 2, 0, 0)",0.3174728211253115,11.302131462449012,4.112027995194051,0.31737731886579684,9.970661681330515,41.95411804814745,1,5.125229012365302,Nashville
"(3, 1, 2, 1, 0, 1)","(3, 1, 3, 1, 0, 1)",0.31340160673007544,11.90069787252441,4.112027995194051,0.31737731886579684,9.970661681330515,41.95411804814745,0,5.316673982917094,Nashville
"(3, 3, 2, 1, 0, 0)","(3, 3, 4, 2, 0, 0)",0.3174728211253115,11.302131462449012,4.112027995194051,0.31737731886579684,9.970661681330515,41.95411804814745,1,5.125229012365302,Nashville
"(6, 2, 2, 1, 0, 1)","(3, 2, 3, 2, 0, 1)",0.3170125233102949,11.400401710309232,4.112027995194051,0.31737731886579684,9.970661681330515,41.95411804814745,0,5.177469478723862,Nashville
"(3, 2, 2, 1, 1, 1)","(3, 2, 2, 1, 1, 1)",0.31737731886579684,11.415045194793322,10.154927121993033,0.31737731886579684,9.970661681330515,41.95411804814745,0,4.624302606078249,Nashville
"(5, 2, 2, 1, 1, 0)","(3, 2, 4, 2, 1, 0)",0.31750028576941125,11.03501566569582,10.145753177791299,0.31737731886579684,9.970661681330515,41.95411804814745,1,4.25748716176236,Nashville
"(3, 3, 2, 1, 0, 0)","(3, 3, 4, 1, 0, 0)",0.3174728211253115,11.561286842002037,4.112027995194051,0.31737731886579684,9.970661681330515,41.95411804814745,1,5.384384391918327,Nashville
"(5, 2, 2, 1, 0, 0)","(3, 2, 2, 1, 0, 0)",0.31750028576941125,11.656259569056136,4.112027995194051,0.31737731886579684,9.970661681330515,41.95411804814745,1,5.4821035833824014,Nashville
"(3, 1, 2, 1, 0, 1)","(3, 1, 2, 2, 0, 1)",0.31340160673007544,11.641809650711746,4.112027995194051,0.31737731886579684,9.970661681330515,41.95411804814745,0,5.057785761104431,Nashville
"(4, 3, 2, 1, 1, 0)","(3, 3, 4, 2, 1, 0)",0.2991465412317198,10.668694198996972,10.152560582347487,0.31737731886579684,9.970661681330515,41.95411804814745,0,2.055110500838749,Nashville
"(5, 2, 2, 1, 0, 0)","(3, 2, 3, 1, 0, 0)",0.31750028576941125,11.656259569056136,4.112027995194051,0.31737731886579684,9.970661681330515,41.95411804814745,1,5.4821035833824014,Nashville
"(4, 2, 2, 1, 1, 1)","(3, 2, 3, 1, 1, 1)",0.31127232966068297,11.25464713744512,10.159322795537918,0.31737731886579684,9.970661681330515,41.95411804814745,0,3.852966060864171,Nashville
"(3, 1, 2, 1, 1, 0)","(3, 1, 3, 2, 1, 0)",0.31340160673007544,11.272245161717493,10.143922721837662,0.31737731886579684,9.970661681330515,41.95411804814745,0,4.085031799445816,Nashville
"(5, 3, 2, 1, 0, 1)","(3, 3, 2, 2, 0, 1)",0.3090108518463598,11.113999135024013,4.112027995194051,0.31737731886579684,9.970661681330515,41.95411804814745,0,4.090899757045133,Nashville
"(6, 1, 2, 1, 1, 0)","(3, 1, 3, 2, 1, 0)",0.299975813073261,11.097649787976135,10.152518402928461,0.31737731886579684,9.970661681330515,41.95411804814745,0,2.566997491913933,Nashville
